Quartile,Meaning,Count,Mean_Variance_ROI,Mean_Dice
Q1,Lowest uncertainty,691,0.39849991537900115,0.4857750905258521
Q2,Middle uncertainty,690,0.5909372991409855,0.6108382016472386
Q3,Middle uncertainty,690,0.7947584763817165,0.7179859399768538
Q4,Highest uncertainty,690,1.2241461027359617,0.7956275814555356
